id,global_id,level,building_code,req_gold,req_elixir,req_gem,req_dark_elixir,train_time,health,housing,damage,attack_range,attack_speed,splash_range,projectile_speed,move_speed,move_type,target_priority,priority_multiplier,research_time,research_gold,research_elixir,research_dark_elixir,research_gems,research_xp
1,barbarian,1,0,0,25,0,0,5,45,1,8,0,1,0,0,2,ground,all,1,0,0,0,0,0,0
2,barbarian,2,0,0,40,0,0,5,54,1,11,0,1,0,0,2,ground,all,1,7200,0,20000,0,0,84
3,barbarian,3,0,0,60,0,0,5,65,1,14,0,1,0,0,2,ground,all,1,18000,0,60000,0,0,134
4,barbarian,4,0,0,100,0,0,5,85,1,18,0,1,0,0,2,ground,all,1,43200,0,200000,0,0,207
5,barbarian,5,0,0,150,0,0,5,105,1,23,0,1,0,0,2,ground,all,1,86400,0,650000,0,0,293
6,barbarian,6,0,0,200,0,0,5,125,1,26,0,1,0,0,2,ground,all,1,129600,0,1400000,0,0,360
7,barbarian,7,0,0,250,0,0,5,160,1,30,0,1,0,0,2,ground,all,1,216000,0,2100000,0,0,464
8,barbarian,8,0,0,300,0,0,5,205,1,34,0,1,0,0,2,ground,all,1,259200,0,2800000,0,0,509
9,barbarian,9,0,0,350,0,0,5,230,1,38,0,1,0,0,2,ground,all,1,604800,0,5600000,0,0,777
10,barbarian,10,0,0,400,0,0,5,250,1,42,0,1,0,0,2,ground,all,1,1123200,0,14000000,0,0,1059
11,barbarian,11,0,0,450,0,0,5,270,1,45,0,1,0,0,2,ground,all,1,1209600,0,16000000,0,0,1099
12,archer,1,0,0,50,0,0,6,20,1,7,3.5,1,0,5,3,ground,all,1,0,0,0,0,0,0
13,archer,2,0,0,80,0,0,6,23,1,9,3.5,1,0,5,3,ground,all,1,10800,0,30000,0,0,103
14,archer,3,0,0,120,0,0,6,28,1,12,3.5,1,0,5,3,ground,all,1,21600,0,80000,0,0,146
15,archer,4,0,0,200,0,0,6,33,1,16,3.5,1,0,5,3,ground,all,1,43200,0,300000,0,0,207
16,archer,5,0,0,300,0,0,6,40,1,20,3.5,1,0,5,3,ground,all,1,86400,0,800000,0,0,293
17,archer,6,0,0,400,0,0,6,44,1,22,3.5,1,0,5,3,ground,all,1,129600,0,2000000,0,0,360
18,archer,7,0,0,500,0,0,6,48,1,25,3.5,1,0,5,3,ground,all,1,216000,0,2500000,0,0,464
19,archer,8,0,0,600,0,0,6,52,1,28,3.5,1,0,5,3,ground,all,1,302400,0,3200000,0,0,549
20,archer,9,0,0,700,0,0,6,56,1,31,3.5,1,0,5,3,ground,all,1,604800,0,6300000,0,0,777
21,archer,10,0,0,800,0,0,6,60,1,34,3.5,1,0,5,3,ground,all,1,1123200,0,14500000,0,0,1059
22,archer,11,0,0,900,0,0,6,64,1,37,3.5,1,0,5,3,ground,all,1,1209600,0,16000000,0,0,1099
23,goblin,1,0,0,25,0,0,7,25,1,11,0,1,0,0,4,ground,resources,2,0,0,0,0,0,0
24,goblin,2,0,0,40,0,0,7,30,1,14,0,1,0,0,4,ground,resources,2,18000,0,45000,0,0,134
25,goblin,3,0,0,60,0,0,7,36,1,19,0,1,0,0,4,ground,resources,2,32400,0,175000,0,0,180
26,goblin,4,0,0,80,0,0,7,50,1,24,0,1,0,0,4,ground,resources,2,43200,0,500000,0,0,207
27,goblin,5,0,0,100,0,0,7,65,1,32,0,1,0,0,4,ground,resources,2,86400,0,1200000,0,0,293
28,goblin,6,0,0,150,0,0,7,80,1,42,0,1,0,0,4,ground,resources,2,129600,0,2000000,0,0,360
29,goblin,7,0,0,200,0,0,7,105,1,52,0,1,0,0,4,ground,resources,2,302400,0,3000000,0,0,549
30,goblin,8,0,0,300,0,0,7,126,1,62,0,1,0,0,4,ground,resources,2,691200,0,6300000,0,0,831
31,giant,1,0,0,250,0,0,30,300,5,22,0,2,0,0,1.5,ground,defenses,1,0,0,0,0,0,0
32,giant,2,0,0,750,0,0,30,360,5,28,0,2,0,0,1.5,ground,defenses,1,14400,0,40000,0,0,120
33,giant,3,0,0,1250,0,0,30,450,5,38,0,2,0,0,1.5,ground,defenses,1,28800,0,150000,0,0,169
34,giant,4,0,0,1750,0,0,30,600,5,48,0,2,0,0,1.5,ground,defenses,1,43200,0,500000,0,0,207
35,giant,5,0,0,2250,0,0,30,800,5,62,0,2,0,0,1.5,ground,defenses,1,86400,0,1200000,0,0,293
36,giant,6,0,0,3000,0,0,30,1100,5,86,0,2,0,0,1.5,ground,defenses,1,172800,0,2000000,0,0,415
37,giant,7,0,0,3500,0,0,30,1300,5,110,0,2,0,0,1.5,ground,defenses,1,302400,0,3000000,0,0,549
38,giant,8,0,0,4000,0,0,30,1500,5,124,0,2,0,0,1.5,ground,defenses,1,475200,0,3500000,0,0,689
39,giant,9,0,0,4500,0,0,30,1850,5,140,0,2,0,0,1.5,ground,defenses,1,777600,0,6300000,0,0,881
40,giant,10,0,0,5000,0,0,30,2000,5,156,0,2,0,0,1.5,ground,defenses,1,972000,0,10000000,0,0,985
41,giant,11,0,0,5500,0,0,30,2200,5,172,0,2,0,0,1.5,ground,defenses,1,1382400,0,16500000,0,0,1175
42,healer,1,0,0,5000,0,0,120,500,14,25.2,5,0.7,1.5,5,2,fly,none,1,0,0,0,0,0,0
43,healer,2,0,0,6000,0,0,120,700,14,33.6,5,0.7,1.5,5,2,fly,none,1,43200,0,450000,0,0,207
44,healer,3,0,0,8000,0,0,120,900,14,42,5,0.7,1.5,5,2,fly,none,1,86400,0,900000,0,0,293
45,healer,4,0,0,10000,0,0,120,1200,14,46.2,5,0.7,1.5,5,2,fly,none,1,172800,0,2700000,0,0,415
46,healer,5,0,0,14000,0,0,120,1500,14,50.4,5,0.7,1.5,5,2,fly,none,1,604800,0,4200000,0,0,777
47,healer,6,0,0,17000,0,0,120,1600,14,50.4,5,0.7,1.5,5,2,fly,none,1,907200,0,9800000,0,0,952
48,healer,7,0,0,20000,0,0,120,1700,14,50.4,5,0.7,1.5,5,2,fly,none,1,1382400,0,16000000,0,0,1175
49,wallbreaker,1,0,0,600,0,0,15,20,2,6,0,1,2,0,3,ground,walls,40,0,0,0,0,0,0
50,wallbreaker,2,0,0,800,0,0,15,24,2,10,0,1,2,0,3,ground,walls,40,21600,0,100000,0,0,146
51,wallbreaker,3,0,0,1000,0,0,15,29,2,15,0,1,2,0,3,ground,walls,40,43200,0,250000,0,0,207
52,wallbreaker,4,0,0,1200,0,0,15,35,2,20,0,1,2,0,3,ground,walls,40,64800,0,600000,0,0,254
53,wallbreaker,5,0,0,1400,0,0,15,53,2,43,0,1,2,0,3,ground,walls,40,86400,0,1200000,0,0,293
54,wallbreaker,6,0,0,1600,0,0,15,72,2,55,0,1,2,0,3,ground,walls,40,183600,0,2500000,0,0,428
55,wallbreaker,7,0,0,1800,0,0,15,82,2,66,0,1,2,0,3,ground,walls,40,302400,0,4200000,0,0,549
56,wallbreaker,8,0,0,2000,0,0,15,92,2,75,0,1,2,0,3,ground,walls,40,604800,0,7300000,0,0,777
57,wallbreaker,9,0,0,2200,0,0,15,112,2,86,0,1,2,0,3,ground,walls,40,950400,0,10000000,0,0,974
58,wallbreaker,10,0,0,2400,0,0,15,130,2,94,0,1,2,0,3,ground,walls,40,1296000,0,15200000,0,0,1138
59,wallbreaker,11,0,0,2600,0,0,15,140,2,102,0,1,2,0,3,ground,walls,40,1382400,0,16500000,0,0,1175
60,wizard,1,0,0,1000,0,0,30,75,4,75,3,1.5,0.3,5,2,ground,all,1,0,0,0,0,0,0
61,wizard,2,0,0,1400,0,0,30,90,4,105,3,1.5,0.3,5,2,ground,all,1,28800,0,120000,0,0,169
62,wizard,3,0,0,1800,0,0,30,108,4,135,3,1.5,0.3,5,2,ground,all,1,43200,0,320000,0,0,207
63,wizard,4,0,0,2200,0,0,30,135,4,187.5,3,1.5,0.3,5,2,ground,all,1,64800,0,620000,0,0,254
64,wizard,5,0,0,2600,0,0,30,165,4,255,3,1.5,0.3,5,2,ground,all,1,86400,0,1200000,0,0,293
65,wizard,6,0,0,3000,0,0,30,180,4,277.5,3,1.5,0.3,5,2,ground,all,1,172800,0,2200000,0,0,415
66,wizard,7,0,0,3400,0,0,30,195,4,300,3,1.5,0.3,5,2,ground,all,1,302400,0,3500000,0,0,549
67,wizard,8,0,0,3800,0,0,30,210,4,322.5,3,1.5,0.3,5,2,ground,all,1,453600,0,5000000,0,0,673
68,wizard,9,0,0,4200,0,0,30,230,4,345,3,1.5,0.3,5,2,ground,all,1,756000,0,6500000,0,0,869
69,wizard,10,0,0,4600,0,0,30,250,4,367.5,3,1.5,0.3,5,2,ground,all,1,950400,0,10500000,0,0,974
70,wizard,11,0,0,5000,0,0,30,270,4,390,3,1.5,0.3,5,2,ground,all,1,1382400,0,17200000,0,0,1175
71,miner,1,0,0,4200,0,0,30,550,6,136,0,1.7,0,0,4,underground,all,1,0,0,0,0,0,0
72,miner,2,0,0,4800,0,0,30,610,6,149.6,0,1.7,0,0,4,underground,all,1,187200,0,2500000,0,0,432
73,miner,3,0,0,5200,0,0,30,670,6,163.2,0,1.7,0,0,4,underground,all,1,302400,0,3200000,0,0,549
74,miner,4,0,0,5600,0,0,30,730,6,176.8,0,1.7,0,0,4,underground,all,1,345600,0,3800000,0,0,587
75,miner,5,0,0,6000,0,0,30,800,6,190.4,0,1.7,0,0,4,underground,all,1,604800,0,5000000,0,0,777
76,miner,6,0,0,6400,0,0,30,900,6,204,0,1.7,0,0,4,underground,all,1,777600,0,6500000,0,0,881
77,miner,7,0,0,6800,0,0,30,1000,6,217.6,0,1.7,0,0,4,underground,all,1,1015200,0,10000000,0,0,1007
78,miner,8,0,0,7200,0,0,30,1100,6,231.2,0,1.7,0,0,4,underground,all,1,1382400,0,16500000,0,0,1175
79,miner,9,0,0,7600,0,0,30,1200,6,244.8,0,1.7,0,0,4,underground,all,1,1468800,0,18500000,0,0,1211
80,balloon,1,0,0,1750,0,0,30,150,5,75,0.5,3,1.2,5,1.3,fly,defenses,1,0,0,0,0,0,0
81,balloon,2,0,0,2250,0,0,30,180,5,96,0.5,3,1.2,5,1.3,fly,defenses,1,28800,0,125000,0,0,169
82,balloon,3,0,0,2750,0,0,30,216,5,144,0.5,3,1.2,5,1.3,fly,defenses,1,43200,0,400000,0,0,207
83,balloon,4,0,0,3500,0,0,30,280,5,216,0.5,3,1.2,5,1.3,fly,defenses,1,64800,0,800000,0,0,254
84,balloon,5,0,0,4000,0,0,30,390,5,324,0.5,3,1.2,5,1.3,fly,defenses,1,86400,0,1500000,0,0,293
85,balloon,6,0,0,4500,0,0,30,545,5,486,0.5,3,1.2,5,1.3,fly,defenses,1,302400,0,2750000,0,0,549
86,balloon,7,0,0,5000,0,0,30,690,5,594,0.5,3,1.2,5,1.3,fly,defenses,1,453600,0,4500000,0,0,673
87,balloon,8,0,0,5500,0,0,30,840,5,708,0.5,3,1.2,5,1.3,fly,defenses,1,820800,0,7700000,0,0,905
88,balloon,9,0,0,6000,0,0,30,940,5,768,0.5,3,1.2,5,1.3,fly,defenses,1,1036800,0,10500000,0,0,1018
89,balloon,10,0,0,6500,0,0,30,1040,5,828,0.5,3,1.2,5,1.3,fly,defenses,1,1468800,0,17000000,0,0,1211
90,pekka,1,0,0,14000,0,0,180,3000,25,468,0,1.8,0,0,2,ground,all,1,0,0,0,0,0,0
91,pekka,2,0,0,16000,0,0,180,3500,25,522,0,1.8,0,0,2,ground,all,1,43200,0,1200000,0,0,207
92,pekka,3,0,0,18000,0,0,180,4000,25,576,0,1.8,0,0,2,ground,all,1,86400,0,1800000,0,0,293
93,pekka,4,0,0,20000,0,0,180,4500,25,648,0,1.8,0,0,2,ground,all,1,172800,0,2800000,0,0,415
94,pekka,5,0,0,22500,0,0,180,5000,25,738,0,1.8,0,0,2,ground,all,1,302400,0,3200000,0,0,549
95,pekka,6,0,0,25000,0,0,180,5500,25,846,0,1.8,0,0,2,ground,all,1,410400,0,4200000,0,0,640
96,pekka,7,0,0,27500,0,0,180,5900,25,972,0,1.8,0,0,2,ground,all,1,518400,0,5200000,0,0,720
97,pekka,8,0,0,30000,0,0,180,6300,25,1098,0,1.8,0,0,2,ground,all,1,864000,0,7700000,0,0,929
98,pekka,9,0,0,32500,0,0,180,6700,25,1224,0,1.8,0,0,2,ground,all,1,972000,0,10500000,0,0,985
99,dragon,1,0,0,10000,0,0,180,1900,20,175,3,1.25,0.3,5,2,fly,all,1,0,0,0,0,0,0
100,dragon,2,0,0,12000,0,0,180,2100,20,200,3,1.25,0.3,5,2,fly,all,1,64800,0,1000000,0,0,254
101,dragon,3,0,0,14000,0,0,180,2300,20,225,3,1.25,0.3,5,2,fly,all,1,129600,0,2000000,0,0,360
102,dragon,4,0,0,16000,0,0,180,2700,20,262.5,3,1.25,0.3,5,2,fly,all,1,259200,0,3000000,0,0,509
103,dragon,5,0,0,18000,0,0,180,3100,20,300,3,1.25,0.3,5,2,fly,all,1,453600,0,3800000,0,0,673
104,dragon,6,0,0,20000,0,0,180,3400,20,337.5,3,1.25,0.3,5,2,fly,all,1,475200,0,4900000,0,0,689
105,dragon,7,0,0,22000,0,0,180,3900,20,387.5,3,1.25,0.3,5,2,fly,all,1,864000,0,7000000,0,0,929
106,dragon,8,0,0,24000,0,0,180,4200,20,412.5,3,1.25,0.3,5,2,fly,all,1,1036800,0,11000000,0,0,1018
107,dragon,9,0,0,26000,0,0,180,4500,20,437.5,3,1.25,0.3,5,2,fly,all,1,1468800,0,17500000,0,0,1211
108,skeleton,1,2,0,0,0,0,0,30,1,25,0,1,0,0,3,ground,all,1,0,0,0,0,0,0
109,bat,1,2,0,0,0,0,0,10,1,40,0,2,0,0,5,fly,all,1,0,0,0,0,0,0
110,babydragon,1,0,0,5000,0,0,90,1200,10,75,2.25,1,0.3,0,2.5,fly,all,1,0,0,0,0,0,0
111,babydragon,2,0,0,6000,0,0,90,1300,10,85,2.25,1,0.3,0,2.5,fly,all,1,172800,0,2000000,0,0,415
112,babydragon,3,0,0,7000,0,0,90,1400,10,95,2.25,1,0.3,0,2.5,fly,all,1,302400,0,2500000,0,0,549
113,babydragon,4,0,0,8000,0,0,90,1500,10,105,2.25,1,0.3,0,2.5,fly,all,1,432000,0,3400000,0,0,657
114,babydragon,5,0,0,9000,0,0,90,1600,10,115,2.25,1,0.3,0,2.5,fly,all,1,540000,0,4200000,0,0,734
115,babydragon,6,0,0,10000,0,0,90,1700,10,125,2.25,1,0.3,0,2.5,fly,all,1,712800,0,6300000,0,0,844
116,babydragon,7,0,0,11000,0,0,90,1800,10,135,2.25,1,0.3,0,2.5,fly,all,1,907200,0,9000000,0,0,952
117,babydragon,8,0,0,12000,0,0,90,1900,10,145,2.25,1,0.3,0,2.5,fly,all,1,1360800,0,16000000,0,0,1166
